UHF_42,Incident_Address_Zip,asbestos_count
bayside - littleneck,11361,19
bayside - littleneck,11362,5
bayside - littleneck,11363,8
bayside - littleneck,11364,18
bedford stuyvesant - crown heights,11212,69
bedford stuyvesant - crown heights,11213,50
bedford stuyvesant - crown heights,11216,61
bedford stuyvesant - crown heights,11233,67
bedford stuyvesant - crown heights,11238,57
bensonhurst - bay ridge,11209,65
bensonhurst - bay ridge,11214,42
bensonhurst - bay ridge,11228,16
borough park,11204,36
borough park,11218,49
borough park,11219,25
borough park,11230,44
canarsie - flatlands,11234,29
canarsie - flatlands,11236,36
canarsie - flatlands,11239,2
central harlem - morningside heights,10026,35
central harlem - morningside heights,10027,51
central harlem - morningside heights,10030,27
central harlem - morningside heights,10037,19
central harlem - morningside heights,10039,39
chelsea - clinton,10001,35
chelsea - clinton,10011,35
chelsea - clinton,10018,23
chelsea - clinton,10019,56
chelsea - clinton,10020,1
chelsea - clinton,10036,33
coney island - sheepshead bay,11223,36
coney island - sheepshead bay,11224,52
coney island - sheepshead bay,11229,34
coney island - sheepshead bay,11235,48
crotona -tremont,10453,70
crotona -tremont,10457,48
crotona -tremont,10460,35
downtown - heights - slope,11201,45
downtown - heights - slope,11205,32
downtown - heights - slope,11215,38
downtown - heights - slope,11217,21
downtown - heights - slope,11231,23
east flatbush - flatbush,11203,58
east flatbush - flatbush,11210,46
east flatbush - flatbush,11225,72
east flatbush - flatbush,11226,85
east harlem,10029,38
east harlem,10035,23
east new york,11207,62
east new york,11208,55
flushing - clearview,11354,18
flushing - clearview,11355,21
flushing - clearview,11356,12
flushing - clearview,11357,12
flushing - clearview,11358,13
flushing - clearview,11359,1
flushing - clearview,11360,5
fordham - bronx pk,10458,63
fordham - bronx pk,10467,103
fordham - bronx pk,10468,60
fresh meadows,11365,11
fresh meadows,11366,4
fresh meadows,11367,29
gramercy park - murray hill,10010,22
gramercy park - murray hill,10016,71
gramercy park - murray hill,10017,24
gramercy park - murray hill,10022,43
greenpoint,11211,43
greenpoint,11222,26
greenwich village - soho,10012,31
greenwich village - soho,10013,20
greenwich village - soho,10014,48
high bridge - morrisania,10451,43
high bridge - morrisania,10452,38
high bridge - morrisania,10456,52
hunts point - mott haven,10454,21
hunts point - mott haven,10455,23
hunts point - mott haven,10459,35
hunts point - mott haven,10474,13
jamaica,11412,15
jamaica,11423,11
jamaica,11432,34
jamaica,11433,19
jamaica,11434,30
jamaica,11435,23
jamaica,11436,12
kingsbridge - riverdale,10463,63
kingsbridge - riverdale,10471,17
long island city - astoria,11101,34
long island city - astoria,11102,11
long island city - astoria,11103,19
long island city - astoria,11104,19
long island city - astoria,11105,33
long island city - astoria,11106,16
lower east side,10002,57
lower manhattan,10004,3
lower manhattan,10005,5
lower manhattan,10006,4
lower manhattan,10007,17
lower manhattan,10038,14
lower manhattan,10280,1
northeast bronx,10466,27
northeast bronx,10469,34
northeast bronx,10470,25
northeast bronx,10475,20
pelham - throgs neck,10461,21
pelham - throgs neck,10462,110
pelham - throgs neck,10464,3
pelham - throgs neck,10465,33
pelham - throgs neck,10472,46
pelham - throgs neck,10473,40
port richmond,10302,8
port richmond,10303,9
port richmond,10310,8
ridgewood -forest hills,11374,30
ridgewood -forest hills,11375,41
ridgewood -forest hills,11379,10
ridgewood -forest hills,11385,69
rockaway,11691,33
rockaway,11692,18
rockaway,11693,25
rockaway,11694,35
south beach - tottenville,10306,27
south beach - tottenville,10307,9
south beach - tottenville,10308,5
south beach - tottenville,10309,10
south beach - tottenville,10312,5
southeast queens,11004,2
southeast queens,11411,8
southeast queens,11413,12
southeast queens,11422,4
southeast queens,11426,5
southeast queens,11427,6
southeast queens,11428,3
southeast queens,11429,15
southwest queens,11414,11
southwest queens,11415,31
southwest queens,11416,5
southwest queens,11417,7
southwest queens,11418,24
southwest queens,11419,25
southwest queens,11420,23
southwest queens,11421,13
stapleton - st. george,10301,42
stapleton - st. george,10304,38
stapleton - st. george,10305,16
sunset park,11220,37
sunset park,11232,19
union square - lower east side,10003,62
union square - lower east side,10009,47
upper east side,10021,26
upper east side,10028,42
upper east side,10044,3
upper east side,10128,38
upper west side,10023,54
upper west side,10024,72
upper west side,10025,116
washington heights,10031,54
washington heights,10032,66
washington heights,10033,52
washington heights,10034,32
washington heights,10040,35
west queens,11368,39
west queens,11369,12
west queens,11370,8
west queens,11372,46
west queens,11373,42
west queens,11377,33
west queens,11378,17
williamsburg - bushwick,11206,45
williamsburg - bushwick,11221,61
williamsburg - bushwick,11237,32
willowbrook,10314,23
